energy_kinetic,energy_potential,energy_skyrme,energy_total,field_norm,max_amplitude,topological_charge,structure_count,correlation_length,time,step
0.9717078959205631,409540.1142980642,198.00007057070673,409739.08607653086,8000.00289206203,1.0000018562776298,-1.786267377245129,0,0.0,0.0,0
428.5723406090659,409622.3748791348,265.8736265223871,410316.82084626623,8001.275554712452,1.000818841480338,-1.7867926381759793,0,0.0,0.002,20
1634.156519320854,409854.307743335,457.2315383122877,411945.69580096815,8004.863817654462,1.0031236498188616,-1.7882775084065783,0,0.0,0.004,40
3619.233011568985,410236.2204387604,772.2961919742826,414627.74964230374,8010.772449257667,1.0069231318956677,-1.7908084683001806,0,0.0,0.006,60
6386.2859970661175,410768.6194069865,1211.4329385725566,418366.3383426252,8019.009300983416,1.0122285784932445,-1.7942065302293688,0,0.0,0.008,80
9938.77801504428,411452.21067922044,1775.1493494766294,423166.13804374135,8029.5853172293,1.0190557505131692,-1.7966521929696246,0,0.0,0.01,100
14281.154068170039,412287.9008464555,2464.0941823123762,429033.1490969379,8042.514549042274,1.027424920718633,-1.7983418408012664,0,0.0,0.012,120
19418.846883807546,413276.79830462125,3279.0560603663926,435974.7012487952,8057.814171708414,1.0373609273416955,-1.801565113883445,0,0.0,0.014,140
25358.283333682364,414420.21477600187,4220.961869138557,443999.4599788228,8075.504506229542,1.0488932396333008,-1.80165523675717,0,0.0,0.016,160
32106.892013318047,415719.66710848105,5290.874874752909,453117.43399655196,8095.609044699266,1.0620560354505586,-1.791954365519492,0,0.0,0.018000000000000002,180
39673.11198299039,417176.8793544652,6489.992570068688,463339.9839075243,8118.154479593361,1.0768882909917719,-1.7739255413173505,0,0.0,0.02,200
48066.402672382355,418793.78513162775,7819.644255598626,474679.8320596087,8143.170736991864,1.0934338828051826,-1.7606944551728732,0,0.0,0.022000000000000002,220
57297.25495163775,420572.53026792186,9281.288363755815,487151.0735833154,8170.691013752581,1.1117417022123988,-1.7351412448486447,0,0.0,0.024,240
67377.20337211715,422515.47573361255,10876.509536526393,500769.1886422561,8200.751818658426,1.1318657823017018,-1.6809897426493994,0,0.0,0.026000000000000002,260
78318.83958086792,424625.200863397,12607.01546841342,515551.0559126783,8233.393017563454,1.1538654376600685,-1.5994213709897132,0,0.0,0.028,280
90135.82691364686,426904.5068720042,14474.633528425295,531514.9673140763,8268.657882565307,1.177805417025572,-1.5924010125824997,0,0.0,0.030000000000000002,300
102842.91617229297,429356.42066699994,16481.307176993927,548680.6440162868,8306.59314523448,1.2037560690538407,-1.571606771634323,0,0.0,0.032,320
116455.96259335677,431984.1989628678,18629.092196004345,567069.2537522289,8347.249053933896,1.2317935214033944,-1.5431842113401246,0,0.0,0.034,340
130991.94401616523,434791.33270079806,20920.1527525956,586703.4294695589,8390.679435265247,1.2619998733549256,-1.4958936742364657,0,0.0,0.036000000000000004,360
146468.98025995767,437781.551778985,23356.757320044053,607607.2893589868,8436.94175968194,1.2944634021888597,-1.4383198460618436,0,0.0,0.038,380
162906.35372138268,440958.8300986284,25941.274481853092,629806.4583018642,8486.097211311797,1.3292787835538105,-1.4075815654416692,0,0.0,0.04,400
180324.53120551753,444327.3909312367,28676.168648128943,653328.0907848832,8538.210762036426,1.366547326065805,-1.3156685508332417,0,0.0,0.042,420
198745.187005677,447891.7126132635,31563.995716397614,678200.8953353382,8593.351249877936,1.4063772203843636,-1.2449953427420037,0,0.0,0.044000000000000004,440
